line_id,file_name,prob_output,accurate
106,K1lt021participant_ship.wav,"{""chip"": 0.0, ""ship"": 1.00000000000004, ""run"": 0.0, ""one"": 0.0}",1
107,K1so053participant_rainbow.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 1.00000000000004}",1
108,K1cb132participant_socks.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",0
109,K1lt311participant_chip.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",0
110,K1cb011participant_ramp.wav,"{""ramp"": 1.00000000000004, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",1
111,K1cc014participant_sun.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0, ""son"": 1.00000000000004}",1
112,K1TK026participant_run.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",0
113,K1lt141participant_red.wav,"{""fan"": 0.0, ""sand"": 0.0, ""red"": 1.00000000000004, ""leg"": 0.0}",1
114,K1_pe033participant_chick.wav,"{""chick"": 1.00000000000004, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 0.0}",1
115,K1sp611participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
116,K1cb024participant_chick.wav,"{""chick"": 0.0, ""sick"": 0.9999999822650212, ""rock"": 0.0, ""lock"": 0.0}",0
117,K1pb227participant_chick.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 0.0}",0
118,K1lt311participant_rock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 1.0000000000000389, ""lock"": 1.5341663819151453e-13}",1
119,K1so104participant_fox.wav,"{""window"": 0.0, ""fox"": 1.00000000000004, ""socks"": 0.0, ""rainbow"": 0.0, ""sox"": 0.0}",1
120,K1jh011participant_leg.wav,"{""fan"": 0.0, ""sand"": 0.0, ""red"": 0.0, ""leg"": 1.00000000000004}",1
121,K1so053participant_fan.wav,"{""fan"": 1.999999994411218e-15, ""sand"": 0.0, ""red"": 0.0, ""leg"": 0.0}",0
122,K1_pe033participant_one.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 1.00000000000004, ""won"": 0.0}",1
123,K1lt038participant_wing.wav,"{""wing"": 0.0, ""ring"": 1.00000000000004, ""sun"": 0.0, ""thumb"": 0.0}",0
124,K1so068participant_socks.wav,"{""window"": 0.0, ""fox"": 0.0010350840148333775, ""socks"": 0.05961625067328824, ""rainbow"": 0.0}",1
125,K1RRI016participant_ramp.wav,"{""ramp"": 1.00000000000004, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",1
126,K1so112participant_zoo.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",0
127,K1lt332participant_chip.wav,"{""chip"": 1.00000000000004, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",1
128,K1lt038participant_sun.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0, ""son"": 1.00000000000004}",1
129,K1lt057participant_ring.wav,"{""ring"": 0.00023222854144793083, ""wing"": 0.0, ""thumb"": 0.0, ""sun"": 0.0}",1
130,K1so104participant_sand.wav,"{""fan"": 0.0, ""sand"": 1.00000000000004, ""red"": 0.0, ""leg"": 0.0}",1
131,K1SB174participant_lamp.wav,"{""ramp"": 0.0038624016394383756, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.11512415575346202}",1
132,K1pv016participant_socks.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",0
133,K1OS013participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0011650280184620659, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
134,K1so104participant_rainbow.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 1.00000000000004}",1
135,K1dd073participant_rock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.9999996759323625, ""lock"": 1.8629326826703514e-07}",1
136,K1pe154participant_sun.wav,"{""thumb"": 0.0, ""sun"": 1.00000000000004, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0}",1
